int64_field_0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
331,2.0,2018-12-31 23:47:46.000000 UTC,2018-12-31 23:53:24.000000 UTC,1.0,1.06,1.0,false,141,229,2.0,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
332,2.0,2019-01-01 00:40:15.000000 UTC,2019-01-01 00:59:33.000000 UTC,2.0,1.95,1.0,false,234,48,2.0,13.0,0.5,0.5,0.0,0.0,0.3,14.3,
333,1.0,2019-01-01 00:23:48.000000 UTC,2019-01-01 00:34:16.000000 UTC,1.0,1.0,1.0,false,161,170,2.0,7.5,0.5,0.5,0.0,0.0,0.3,8.8,
334,1.0,2019-01-01 00:36:27.000000 UTC,2019-01-01 00:50:08.000000 UTC,1.0,3.0,1.0,false,170,236,1.0,11.5,0.5,0.5,1.02,0.0,0.3,13.82,
335,1.0,2019-01-01 00:53:01.000000 UTC,2019-01-01 01:09:51.000000 UTC,1.0,4.6,1.0,false,237,112,1.0,16.0,0.5,0.5,3.45,0.0,0.3,20.75,
336,2.0,2019-01-01 00:44:34.000000 UTC,2019-01-01 01:01:36.000000 UTC,1.0,2.0,1.0,false,100,141,1.0,11.5,0.5,0.5,3.84,0.0,0.3,16.64,
337,2.0,2019-01-01 00:18:56.000000 UTC,2019-01-01 00:26:27.000000 UTC,1.0,1.85,1.0,false,229,236,2.0,8.0,0.5,0.5,0.0,0.0,0.3,9.3,
338,2.0,2019-01-01 00:31:03.000000 UTC,2019-01-01 00:48:17.000000 UTC,1.0,2.37,1.0,false,236,164,1.0,12.0,0.5,0.5,2.66,0.0,0.3,15.96,
339,1.0,2019-01-01 00:06:28.000000 UTC,2019-01-01 00:39:13.000000 UTC,1.0,3.5,1.0,false,263,48,2.0,21.5,0.5,0.5,0.0,0.0,0.3,22.8,
340,1.0,2019-01-01 00:39:46.000000 UTC,2019-01-01 01:06:55.000000 UTC,1.0,5.4,1.0,false,48,88,1.0,21.5,0.5,0.5,2.0,0.0,0.3,24.8,
341,1.0,2019-01-01 00:34:20.000000 UTC,2019-01-01 00:53:19.000000 UTC,1.0,4.2,1.0,false,181,225,1.0,16.0,0.5,0.5,2.0,0.0,0.3,19.3,
342,2.0,2019-01-01 00:12:52.000000 UTC,2019-01-01 00:19:26.000000 UTC,1.0,3.23,1.0,false,262,224,2.0,11.0,0.5,0.5,0.0,0.0,0.3,12.3,
343,2.0,2019-01-01 00:38:41.000000 UTC,2019-01-01 00:45:17.000000 UTC,1.0,1.4,1.0,false,162,141,1.0,7.0,0.5,0.5,1.66,0.0,0.3,9.96,
344,2.0,2019-01-01 00:50:30.000000 UTC,2019-01-01 00:56:16.000000 UTC,1.0,0.88,1.0,false,263,236,2.0,6.0,0.5,0.5,0.0,0.0,0.3,7.3,
345,1.0,2019-01-01 00:14:41.000000 UTC,2019-01-01 00:21:20.000000 UTC,1.0,1.5,1.0,false,163,237,2.0,6.5,0.5,0.5,0.0,0.0,0.3,7.8,
346,1.0,2019-01-01 00:22:56.000000 UTC,2019-01-01 00:44:40.000000 UTC,2.0,3.6,1.0,false,237,113,2.0,15.5,0.5,0.5,0.0,0.0,0.3,16.8,
347,1.0,2019-01-01 00:47:04.000000 UTC,2019-01-01 01:04:59.000000 UTC,2.0,3.6,1.0,false,113,33,1.0,14.0,0.5,0.5,3.8,0.0,0.3,19.1,
348,2.0,2019-01-01 00:55:40.000000 UTC,2019-01-01 01:05:03.000000 UTC,1.0,1.96,1.0,false,236,229,2.0,8.5,0.5,0.5,0.0,0.0,0.3,9.8,
349,2.0,2019-01-01 00:05:27.000000 UTC,2019-01-01 00:22:00.000000 UTC,5.0,5.1,1.0,false,262,148,1.0,18.5,0.5,0.5,4.95,0.0,0.3,24.75,
350,2.0,2019-01-01 00:24:36.000000 UTC,2019-01-01 00:29:21.000000 UTC,5.0,0.72,1.0,false,148,4,1.0,5.0,0.5,0.5,1.26,0.0,0.3,7.56,
351,2.0,2019-01-01 00:36:10.000000 UTC,2019-01-01 00:51:07.000000 UTC,5.0,1.93,1.0,false,79,186,1.0,10.5,0.5,0.5,3.54,0.0,0.3,15.34,
